time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2026-03-02,183.56500,184.68900,183.48700,183.83600,640428,176.10548,182.90127,183.35485,52.91496,46.64313,,,,
2026-03-03,183.83600,184.33400,182.02900,183.16400,747283,176.21170,182.94935,183.31145,48.77367,47.28636,,,,
2026-03-04,183.16400,183.22900,182.37100,182.69700,576561,176.31235,182.98663,183.18745,46.07497,47.90857,,,,
2026-03-05,182.69700,183.09100,182.10000,182.86500,636964,176.40934,183.02417,183.08505,47.20665,48.64423,,,,
2026-03-06,182.86500,183.38800,182.32800,183.26000,622063,176.50814,183.05052,182.96160,49.87045,49.26815,,,,
2026-03-09,182.47700,183.47200,182.39500,183.42400,791116,176.60613,183.07605,182.85160,50.97646,50.00590,,,,
2026-03-10,183.42400,183.76400,183.05100,183.49500,615741,176.70647,183.12259,182.84435,51.47560,50.46432,,,,
2026-03-11,183.49500,184.07800,183.40000,183.84200,487421,176.80955,183.16460,182.94120,53.94371,51.06482,,,,
2026-03-12,183.84200,183.90500,183.21500,183.42500,935212,176.90837,183.20461,183.04825,50.61213,51.32355,,,,
2026-03-13,183.42500,183.65300,182.25300,182.32900,507632,177.00530,183.21696,183.10640,43.08109,51.24225,,,,
2026-03-16,182.31900,183.17900,181.86700,182.97500,440910,177.09904,183.24072,183.16465,47.99319,50.94391,,,,
2026-03-17,182.97500,183.54600,182.81400,183.46400,376394,177.19127,183.27283,183.25270,51.41146,50.45020,,,,
2026-03-18,183.46400,183.82400,182.98500,183.06400,439816,177.28127,183.30771,183.28710,48.59764,49.96357,,,,
2026-03-19,183.06400,183.42700,182.04800,182.73700,1345080,177.36750,183.32956,183.30145,46.36362,49.23540,,,,
2026-03-20,182.73700,184.24100,182.59100,184.21900,523769,177.45842,183.37031,183.37910,56.19251,49.46951,,,,
2026-03-23,183.75000,184.33600,183.15400,183.97000,897169,177.54743,183.41571,183.46785,54.38911,49.87061,,,,
2026-03-24,183.97000,184.25200,183.62200,184.18400,657094,177.63625,183.46021,183.50565,55.70485,50.55846,,,,
2026-03-25,184.18400,184.60200,183.99800,184.30700,501100,177.72128,183.49849,183.49030,56.48189,51.22098,,,,
2026-03-26,184.30700,184.47500,183.96700,184.16700,810332,177.80857,183.52275,183.49045,55.29293,51.60830,,,,
2026-03-27,184.16700,184.65900,183.86200,184.41300,412579,177.89777,183.54980,183.49185,57.00556,52.03895,,,,
2026-03-30,184.22000,184.49800,182.58800,183.08000,410414,177.97744,183.55620,183.45405,46.59046,51.69001,,,,
2026-03-31,183.08000,183.64600,182.82400,183.34600,527091,178.05275,183.56196,183.46315,48.60825,51.30891
